User,Card,Year,Month,Day,Amount,UseChip,MerchantName,MerchantCity,MerchantCountry,Zip,MCC,target
47.0,1.0,2008.0,1.0,19.0,$13.11,Swipe Transaction,Parker Fine Foods,Anderson,USA,29626.0,5411.0,No
358.0,3.0,2005.0,5.0,3.0,$47.08,Swipe Transaction,Fast Food Chain 1,Saint Paul,USA,55113.0,5814.0,No
323.0,0.0,2010.0,7.0,27.0,$22.94,Swipe Transaction,Fast Food Chain 3,Columbus,USA,43201.0,5814.0,No
401.0,4.0,2010.0,1.0,30.0,$26.17,Swipe Transaction,Hardware Store 2,Youngstown,USA,44511.0,5251.0,No
1333.0,4.0,2013.0,5.0,16.0,$5.81,Swipe Transaction,Fast Food Chain 1,Alvin,USA,77511.0,5814.0,No
175.0,1.0,2012.0,9.0,26.0,$23.15,Swipe Transaction,Fast Food Chain 16,Jesup,USA,31545.0,5814.0,No
545.0,0.0,2017.0,6.0,17.0,$29.13,Chip Transaction,Torres Foods,Fremont,USA,68025.0,5411.0,No
101.0,0.0,2013.0,2.0,10.0,$12.23,Swipe Transaction,Supermarket Chain 2,Alameda,USA,94501.0,5411.0,No
38.0,0.0,2011.0,1.0,14.0,$0.98,Swipe Transaction,Bookstore Company 1,Carlsbad,USA,92009.0,5942.0,No
1202.0,4.0,2019.0,3.0,14.0,$67.52,Chip Transaction,Supermarket Chain 3,Spiro,USA,74959.0,5411.0,No
591.0,1.0,2009.0,11.0,19.0,$35.13,Swipe Transaction,Movie Theater Chain 3,Flagstaff,USA,86001.0,7832.0,No
913.0,3.0,1998.0,1.0,15.0,$72.28,Swipe Transaction,Fast Food Chain 10,Ellicott City,USA,21043.0,5814.0,No
180.0,2.0,2001.0,3.0,10.0,$101.87,Swipe Transaction,Department Store 2,Titusville,USA,32780.0,5311.0,No
35.0,0.0,2012.0,12.0,23.0,$13.07,Online Transaction,Ride Sharing Company 2,San Jose ,USA,51694.67689524219,4121.0,No
839.0,0.0,2017.0,5.0,15.0,$72.80,Swipe Transaction,Carter Pharmacy,Mexico City,Mexico,51694.67689524219,5912.0,No
1304.0,1.0,2010.0,12.0,24.0,$1.50,Swipe Transaction,Consolidated Foods,Marietta,USA,30068.0,5411.0,No
261.0,0.0,2015.0,5.0,16.0,$27.71,Chip Transaction,Delivery Company 2,Moorhead,USA,56560.0,4214.0,No
575.0,0.0,2011.0,7.0,10.0,$34.85,Swipe Transaction,Mylahs Grocery,Whitehouse Station,USA,8889.0,5411.0,No
1696.0,1.0,2020.0,2.0,21.0,$13.15,Online Transaction,Ride Sharing Company 2,San Jose ,USA,51694.67689524219,4121.0,No
813.0,1.0,2012.0,7.0,17.0,$61.96,Swipe Transaction,Discount Store 1,West Fargo,USA,58078.0,5310.0,No
435.0,0.0,2018.0,8.0,24.0,$105.73,Chip Transaction,Restaurant Chain 11,Fayetteville,USA,28306.0,5812.0,No
197.0,4.0,2012.0,4.0,21.0,$11.32,Swipe Transaction,Wholesale Club 1,Columbus,USA,47201.0,5300.0,No
24.0,0.0,2017.0,7.0,10.0,$9.85,Chip Transaction,Samirs Taunton Theaters,Taunton,USA,2780.0,7832.0,No
385.0,0.0,2007.0,12.0,26.0,$239.46,Swipe Transaction,Rail Company 1,Manassas,USA,20110.0,4112.0,No
389.0,5.0,2007.0,8.0,14.0,$49.43,Online Transaction,Auto Toll Provider 7,San Jose ,USA,51694.67689524219,4784.0,No
1682.0,4.0,2011.0,9.0,8.0,$548.96,Swipe Transaction,Hotel and Resort Company 8,Rancho Cucamonga,USA,91730.0,3596.0,No
1594.0,0.0,2014.0,1.0,7.0,$62.26,Swipe Transaction,Cristians Market,Concord,USA,28027.0,5411.0,No
611.0,0.0,2002.0,10.0,21.0,$35.59,Online Transaction,Auto Toll Provider 1,San Jose ,USA,51694.67689524219,4784.0,No
1458.0,0.0,2020.0,1.0,16.0,$36.57,Chip Transaction,Nelson Car Service,Olathe,USA,66062.0,4121.0,No
705.0,4.0,2019.0,1.0,24.0,$22.40,Chip Transaction,Supermarket Chain 2,Hamilton,USA,45011.0,5411.0,No
648.0,2.0,2016.0,11.0,28.0,$77.62,Chip Transaction,Supermarket Chain 3,San Jose,USA,95124.0,5411.0,No
574.0,3.0,2007.0,7.0,15.0,$55.70,Swipe Transaction,Maeves Eats,Littleton,USA,80130.0,5812.0,No
974.0,0.0,2013.0,11.0,18.0,$3.10,Swipe Transaction,Giulianas Hallandale Supermarket,Hallandale,USA,33009.0,5411.0,No
244.0,1.0,2011.0,1.0,12.0,$80.00,Swipe Transaction,Money Transfer Company 1,Cherry Point,USA,28533.0,4829.0,No
1335.0,0.0,2019.0,6.0,13.0,$48.48,Chip Transaction,Restaurant Chain 5,Morgan Hill,USA,95037.0,5812.0,No
300.0,4.0,2007.0,9.0,17.0,$23.92,Swipe Transaction,Torres Ale House,Freeport,USA,11520.0,5813.0,No
508.0,0.0,2019.0,5.0,9.0,$50.14,Swipe Transaction,Clothing Store 2,Clarkston,USA,48346.0,5651.0,No
1474.0,0.0,2019.0,10.0,24.0,$21.94,Online Transaction,Ride Sharing Company 2,San Jose ,USA,51694.67689524219,4121.0,No
1006.0,5.0,2018.0,8.0,31.0,$189.22,Chip Transaction,Supermarket Chain 3,Newport Beach,USA,92660.0,5411.0,No
1750.0,0.0,2016.0,12.0,11.0,$7.53,Swipe Transaction,Supermarket Chain 2,Tiffin,USA,44883.0,5411.0,No
1278.0,4.0,2002.0,8.0,3.0,$183.57,Online Transaction,Travel Booking Company 1,San Jose ,USA,51694.67689524219,4722.0,No
37.0,3.0,2009.0,2.0,18.0,$46.04,Swipe Transaction,Convenience Store Chain 1,Cincinnati,USA,45255.0,5499.0,No
478.0,3.0,2015.0,3.0,5.0,$52.14,Online Transaction,Auto Toll Provider 1,San Jose ,USA,51694.67689524219,4784.0,No
611.0,0.0,2017.0,2.0,8.0,$163.43,Chip Transaction,Car Rental Company 6,Manitowoc,USA,54220.0,3395.0,No
1138.0,0.0,2004.0,5.0,23.0,$10.62,Swipe Transaction,Restaurant Chain 8,Marlborough,USA,1752.0,5812.0,No
751.0,0.0,2016.0,9.0,4.0,$65.84,Chip Transaction,Auto Service Company 6,Spokane,USA,99223.0,7538.0,No
956.0,1.0,2010.0,1.0,20.0,$49.03,Swipe Transaction,Crafts Store 1,San Jose,USA,95111.0,5970.0,No
1913.0,0.0,2012.0,1.0,17.0,$56.55,Swipe Transaction,Restaurant Chain 1,Lancaster,USA,29720.0,5812.0,No
1079.0,0.0,2013.0,8.0,24.0,$3.51,Swipe Transaction,Fast Food Chain 1,Coram,USA,11727.0,5814.0,No
1547.0,4.0,2014.0,5.0,18.0,$0.43,Swipe Transaction,Gas Station Company 3,West Bend,USA,53095.0,5541.0,No
1491.0,3.0,2010.0,5.0,24.0,$94.30,Swipe Transaction,Jakes Water,Buffalo,USA,14226.0,4900.0,No
433.0,2.0,2012.0,10.0,23.0,$1.36,Swipe Transaction,Convenience Store Chain 1,Davis,USA,95616.0,5499.0,No
1196.0,0.0,2006.0,4.0,16.0,$27.00,Swipe Transaction,Clothing Store 2,Sacramento,USA,95838.0,5651.0,No
1876.0,2.0,2015.0,2.0,17.0,$4.37,Chip Transaction,Ward Gourmet Supplies,Sabillasville,USA,21780.0,5411.0,No
531.0,3.0,2007.0,12.0,20.0,$3.93,Swipe Transaction,Pharmacy Company 4,Loveland,USA,80537.0,5912.0,No
1278.0,5.0,2014.0,3.0,6.0,$165.91,Swipe Transaction,Phone Service Provider 2,Rio Rancho,USA,87144.0,4814.0,No
1287.0,0.0,2016.0,10.0,25.0,$40.50,Chip Transaction,Vending Machine Product 2,Hendersonville,USA,28791.0,5499.0,No
772.0,4.0,2011.0,8.0,5.0,$72.47,Online Transaction,Auto Toll Provider 1,San Jose ,USA,51694.67689524219,4784.0,No
1247.0,0.0,2012.0,11.0,24.0,$232.38,Online Transaction,Phone Service Provider 4,San Jose ,USA,51694.67689524219,4814.0,No
864.0,0.0,2019.0,10.0,18.0,$8.39,Chip Transaction,Zendayas Bar,Lynn,USA,1905.0,5813.0,No
1385.0,4.0,2010.0,7.0,6.0,$1.34,Swipe Transaction,Supermarket Chain 3,Rock Hill,USA,29732.0,5411.0,No
1183.0,0.0,2019.0,10.0,3.0,$37.38,Chip Transaction,Department Store 8,Lake Orion,USA,48362.0,5311.0,No
1079.0,0.0,2009.0,9.0,17.0,$1.46,Swipe Transaction,Convenience Store Chain 1,Coram,USA,11727.0,5499.0,No
124.0,0.0,2014.0,7.0,18.0,$79.80,Swipe Transaction,Ezras Market,Brooklyn,USA,11220.0,5411.0,No
188.0,2.0,2012.0,5.0,21.0,$18.03,Swipe Transaction,Zaviers Fine Foods,West Mifflin,USA,15122.0,5411.0,No
1739.0,3.0,2008.0,6.0,13.0,$84.32,Swipe Transaction,Supermarket Chain 3,Woodside,USA,11377.0,5411.0,No
82.0,3.0,2017.0,8.0,21.0,$30.15,Chip Transaction,Ronnies Beaver Eats,Beaver,USA,15009.0,5812.0,No
150.0,3.0,2004.0,4.0,9.0,$31.37,Swipe Transaction,Green Bar,Pflugerville,USA,78660.0,5813.0,No
143.0,1.0,2007.0,8.0,27.0,$53.28,Swipe Transaction,Moore Gourmet Supplies,Wilson,USA,27893.0,5411.0,No
255.0,0.0,2013.0,5.0,15.0,$110.79,Swipe Transaction,Car Rental Company 2,Baltimore,USA,21218.0,3389.0,No
1603.0,0.0,2000.0,9.0,13.0,$56.22,Swipe Transaction,Gas Station Company 4,La Grange,USA,78945.0,5541.0,No
1783.0,0.0,2012.0,11.0,8.0,$36.71,Swipe Transaction,Movie Theater Chain 2,Stockbridge,USA,30281.0,7832.0,No
188.0,0.0,2019.0,12.0,6.0,$16.79,Swipe Transaction,Aylins Pharmacy,West Mifflin,USA,15122.0,5912.0,No
1931.0,0.0,2006.0,12.0,31.0,$5.54,Swipe Transaction,Merkel Apothecary,Hobart,USA,46342.0,5912.0,No
1638.0,6.0,2015.0,9.0,16.0,$122.05,Chip Transaction,Clothing Store 3,Schererville,USA,46375.0,5651.0,No
885.0,1.0,2011.0,7.0,30.0,$169.29,Swipe Transaction,King Plumbing,Waipahu,USA,96797.0,1711.0,No
1610.0,0.0,2018.0,8.0,25.0,$1.71,Swipe Transaction,Supermarket Chain 3,Northport,USA,35475.0,5411.0,No
132.0,1.0,2019.0,6.0,4.0,$6.35,Chip Transaction,Lauryns Supermarket,Haverhill,USA,1832.0,5411.0,No
1980.0,2.0,2013.0,1.0,5.0,$56.61,Swipe Transaction,Fast Food Chain 2,Deville,USA,71328.0,5814.0,No
1721.0,3.0,2008.0,10.0,4.0,$61.43,Swipe Transaction,Auto Service Company 6,Fulda,USA,56131.0,7538.0,No
311.0,1.0,2015.0,10.0,19.0,$14.92,Chip Transaction,Mariams Kinston Theaters,Kinston,USA,28501.0,7832.0,No
1666.0,0.0,2015.0,1.0,9.0,$80.00,Chip Transaction,Money Transfer Company 1,Anaheim,USA,92801.0,4829.0,No
1150.0,1.0,2014.0,12.0,21.0,$9.68,Swipe Transaction,Reed Saint Louis Supermarket,Saint Louis,USA,63114.0,5411.0,No
617.0,0.0,2015.0,7.0,15.0,$30.31,Online Transaction,Ride Sharing Company 2,San Jose ,USA,51694.67689524219,4121.0,No
370.0,4.0,2014.0,11.0,29.0,$33.32,Swipe Transaction,Auto Service Company 12,King George,USA,22485.0,7538.0,No
1202.0,4.0,2009.0,10.0,19.0,$110.98,Swipe Transaction,Lewis Seminole Water,Seminole,USA,74868.0,4900.0,No
1804.0,2.0,2008.0,12.0,21.0,$2.01,Swipe Transaction,Convenience Store Chain 1,South China,USA,4358.0,5499.0,No
718.0,1.0,2016.0,1.0,26.0,$57.33,Chip Transaction,Jaylas Gourmet Supplies,Bedford,USA,50833.0,5411.0,No
1325.0,0.0,2006.0,5.0,4.0,$66.83,Swipe Transaction,Wholesale Club 1,Little River,USA,29566.0,5300.0,No
1358.0,2.0,2016.0,4.0,14.0,$13.77,Chip Transaction,Convenience Store Chain 1,Oxnard,USA,93033.0,5499.0,No
111.0,0.0,2013.0,7.0,14.0,$13.77,Swipe Transaction,Supermarket Chain 2,Lakewood,USA,98498.0,5411.0,No
1895.0,1.0,2005.0,1.0,6.0,$44.15,Online Transaction,Auto Toll Provider 1,San Jose ,USA,51694.67689524219,4784.0,No
1579.0,0.0,2017.0,7.0,30.0,$126.63,Chip Transaction,Zaviers Grocery,Woodbridge,USA,7095.0,5411.0,No
662.0,2.0,2010.0,4.0,8.0,$49.18,Swipe Transaction,Department Store 8,Fort Worth,USA,76179.0,5311.0,No
630.0,0.0,2008.0,2.0,9.0,$70.73,Swipe Transaction,Wholesale Club 1,Fort Benton,USA,59442.0,5300.0,No
1961.0,3.0,2016.0,11.0,4.0,$7.40,Chip Transaction,Denvers Package Store,Oak Park,USA,91377.0,5921.0,No
374.0,0.0,1998.0,10.0,11.0,$0.19,Swipe Transaction,Convenience Store Chain 3,Grand Rapids,USA,49508.0,5499.0,No
961.0,0.0,2010.0,6.0,6.0,$19.17,Swipe Transaction,Restaurant Chain 5,Chapel Hill,USA,27516.0,5812.0,No
1078.0,1.0,2011.0,2.0,3.0,$15.24,Swipe Transaction,Pharmacy Company 3,Mayfield,USA,12117.0,5912.0,No
1603.0,0.0,2012.0,12.0,19.0,$73.22,Swipe Transaction,Phone Service Provider 2,Lubbock,USA,79413.0,4814.0,No
1763.0,3.0,2006.0,7.0,12.0,$389.25,Swipe Transaction,Ariahs Legal Services,Aurora,USA,60506.0,8111.0,No
718.0,1.0,2017.0,12.0,2.0,$11.09,Chip Transaction,Supermarket Chain 3,Mount Ayr,USA,50854.0,5411.0,No
1487.0,3.0,2007.0,8.0,1.0,$13.32,Swipe Transaction,Gas Station Company 1,Hewitt,USA,7421.0,5541.0,No
387.0,1.0,2018.0,5.0,3.0,$6.32,Chip Transaction,Department Store 3,Santa Ana,USA,92704.0,5311.0,No
336.0,3.0,2018.0,4.0,15.0,$30.22,Chip Transaction,Movie Theater Chain 1,Eagle Mountain,USA,84005.0,7832.0,No
1574.0,4.0,2007.0,5.0,9.0,$77.19,Swipe Transaction,Convenience Store Chain 1,Appleton,USA,54915.0,5499.0,No
1765.0,0.0,2016.0,8.0,30.0,$11.09,Chip Transaction,Gas Station Company 1,Washington,USA,47501.0,5541.0,No
1930.0,3.0,2007.0,12.0,14.0,$83.36,Swipe Transaction,Clothing Store 1,Hillsboro,USA,45133.0,5651.0,No
291.0,1.0,2012.0,10.0,29.0,$95.98,Swipe Transaction,Supermarket Chain 2,Atlanta,USA,30305.0,5411.0,No
1382.0,1.0,2008.0,1.0,14.0,$87.36,Swipe Transaction,Car Rental Company 7,Muleshoe,USA,79347.0,3390.0,No
21.0,1.0,2005.0,11.0,18.0,$24.75,Swipe Transaction,Clothing Store 2,Renton,USA,98055.0,5651.0,No
1439.0,2.0,2015.0,12.0,2.0,$0.52,Swipe Transaction,Convenience Store Chain 1,Redwood City,USA,94062.0,5499.0,No
1520.0,2.0,2014.0,10.0,6.0,$110.13,Swipe Transaction,Sanchez Chic Boutique,Saint Louis,USA,63125.0,5621.0,No
47.0,4.0,2016.0,2.0,5.0,$12.42,Swipe Transaction,Department Store 6,Due West,USA,29639.0,5311.0,No
1876.0,1.0,2017.0,1.0,18.0,$1.71,Chip Transaction,Ward Gourmet Supplies,Sabillasville,USA,21780.0,5411.0,No
1611.0,0.0,2001.0,6.0,18.0,$49.54,Swipe Transaction,Phone Service Provider 2,Buffalo,USA,14216.0,4814.0,No
292.0,1.0,2009.0,11.0,22.0,$62.23,Swipe Transaction,Gas Station Company 1,Jacksonville,USA,32225.0,5541.0,No
440.0,2.0,2019.0,9.0,4.0,$267.41,Chip Transaction,Car Rental Company 4,Milwaukee,USA,53218.0,3405.0,No
1233.0,4.0,2019.0,8.0,12.0,$34.36,Chip Transaction,Fast Food Chain 5,Springfield,USA,65804.0,5814.0,No
126.0,0.0,2016.0,6.0,12.0,$44.81,Chip Transaction,Movie Theater Chain 2,Lawton,USA,73507.0,7832.0,No
1746.0,3.0,2017.0,8.0,26.0,$15.12,Chip Transaction,Fast Food Chain 1,San Diego,USA,92128.0,5814.0,No
279.0,2.0,2015.0,8.0,30.0,$29.94,Online Transaction,Auto Toll Provider 1,San Jose ,USA,51694.67689524219,4784.0,No
1861.0,4.0,2013.0,11.0,26.0,$10.82,Swipe Transaction,Pharmacy Company 2,Wichita,USA,67217.0,5912.0,No
1643.0,0.0,2017.0,3.0,15.0,$59.69,Chip Transaction,Casons Pharmacy,Erlanger,USA,41018.0,5912.0,No
1633.0,0.0,2019.0,7.0,26.0,$18.52,Chip Transaction,Pharmacy Company 1,Lorain,USA,44052.0,5912.0,No
1517.0,2.0,2011.0,5.0,17.0,$25.76,Swipe Transaction,Cohens Bar,Orwigsburg,USA,17961.0,5813.0,No
1502.0,3.0,2016.0,9.0,1.0,$116.81,Online Transaction,Ticket Seller 1,San Jose ,USA,51694.67689524219,7922.0,No
327.0,0.0,2015.0,1.0,15.0,$2.22,Swipe Transaction,Bookstore Company 1,Los Angeles,USA,90037.0,5942.0,No
1046.0,6.0,2016.0,2.0,13.0,$1.78,Chip Transaction,Hadlees Apothecary,Akron,USA,44301.0,5912.0,No
1616.0,2.0,2010.0,6.0,19.0,$24.36,Online Transaction,Auto Toll Provider 1,San Jose ,USA,51694.67689524219,4784.0,No
1874.0,0.0,2009.0,12.0,4.0,$9.33,Swipe Transaction,Supermarket Chain 2,La Jolla,USA,92037.0,5411.0,No
1925.0,4.0,2017.0,8.0,27.0,$52.82,Chip Transaction,Everetts Diner,Houston,USA,77082.0,5812.0,No
1628.0,1.0,2013.0,8.0,24.0,$46.30,Swipe Transaction,Quentins Norwood Home Supplies,Norwood,USA,2062.0,5211.0,No
1395.0,1.0,2016.0,3.0,22.0,$2.62,Chip Transaction,Karlies Supermarket,Lincoln,USA,68504.0,5411.0,No
1307.0,0.0,2019.0,1.0,25.0,$3.19,Chip Transaction,Supermarket Chain 2,Huntington,USA,46750.0,5411.0,No
927.0,0.0,2019.0,3.0,3.0,$11.70,Chip Transaction,Wholesale Club 1,Oskaloosa,USA,52577.0,5300.0,No
1475.0,4.0,2005.0,7.0,4.0,$19.53,Swipe Transaction,Supermarket Chain 1,Windermere,USA,34786.0,5411.0,No
1306.0,6.0,2019.0,7.0,4.0,$5.70,Chip Transaction,Pharmacy Company 1,Dallas,USA,75243.0,5912.0,No
1351.0,3.0,2013.0,11.0,1.0,$82.79,Swipe Transaction,Department Store 2,Greenleaf,USA,54126.0,5311.0,No
973.0,1.0,2011.0,8.0,27.0,$46.67,Online Transaction,Auto Toll Provider 6,San Jose ,USA,51694.67689524219,4784.0,No
1751.0,1.0,2004.0,12.0,30.0,$51.72,Online Transaction,Electric Utility 1,San Jose ,USA,51694.67689524219,4900.0,No
1721.0,4.0,2019.0,3.0,5.0,$45.74,Chip Transaction,Movie Theater Chain 3,Mountain Lake,USA,56159.0,7832.0,No
1560.0,0.0,2015.0,11.0,30.0,$11.07,Online Transaction,Digital Content Company 3,San Jose ,USA,51694.67689524219,5815.0,No
1037.0,2.0,2014.0,5.0,16.0,$14.72,Online Transaction,Auto Toll Provider 1,San Jose ,USA,51694.67689524219,4784.0,No
1062.0,3.0,2015.0,12.0,2.0,$5.94,Chip Transaction,Supermarket Chain 3,Miami,USA,33147.0,5411.0,No
1663.0,2.0,2010.0,10.0,1.0,$25.65,Swipe Transaction,Gas Station Company 1,Magna,USA,84044.0,5541.0,No
903.0,4.0,2018.0,9.0,10.0,$11.06,Chip Transaction,Gas Station Company 2,Gardena,USA,90247.0,5541.0,No
429.0,0.0,2012.0,11.0,17.0,$4.48,Swipe Transaction,Ramirez Spirits,Bradenton,USA,34207.0,5921.0,No
759.0,0.0,2005.0,10.0,20.0,$87.49,Swipe Transaction,Bookstore Company 1,Philadelphia,USA,19111.0,5942.0,No
1075.0,4.0,2017.0,8.0,11.0,$6.59,Chip Transaction,Darwins Diner,Amherst,USA,44001.0,5812.0,No
1006.0,6.0,2013.0,8.0,22.0,$7.05,Swipe Transaction,Bookstore Company 1,Rancho Santa Margarita,USA,92688.0,5942.0,No
1781.0,6.0,2014.0,7.0,15.0,$7.43,Swipe Transaction,Gas Station Company 2,San Diego,USA,92116.0,5541.0,No
1040.0,4.0,2013.0,9.0,1.0,$27.63,Online Transaction,Ride Sharing Company 1,San Jose ,USA,51694.67689524219,4121.0,No
1889.0,3.0,2018.0,6.0,25.0,$77.14,Chip Transaction,Bellissimas Market,Calumet City,USA,60409.0,5411.0,No
1832.0,0.0,2019.0,11.0,6.0,$8.11,Chip Transaction,Lilyanas Bar,Stanton,USA,90680.0,5813.0,No
29.0,0.0,2014.0,12.0,28.0,$31.85,Online Transaction,Auto Toll Provider 1,San Jose ,USA,51694.67689524219,4784.0,No
699.0,2.0,2006.0,5.0,17.0,$34.34,Swipe Transaction,Schmidt Cottonwood Theaters,Cottonwood,USA,86326.0,7832.0,No
667.0,1.0,2020.0,1.0,19.0,$23.06,Chip Transaction,Delivery Company 3,Bowie,USA,20720.0,9402.0,No
1616.0,2.0,2011.0,1.0,8.0,$9.18,Swipe Transaction,Gas Station Company 7,Powhatan,USA,23139.0,5541.0,No
1034.0,1.0,2018.0,9.0,27.0,$16.29,Chip Transaction,Supermarket Chain 3,Roy,USA,84067.0,5411.0,No
1327.0,5.0,2010.0,9.0,28.0,$10.23,Swipe Transaction,Davids Restaurant,Lilburn,USA,30047.0,5812.0,No
276.0,3.0,2019.0,9.0,1.0,$7.38,Chip Transaction,Brycens Broussard Wine and Liquor,Broussard,USA,70518.0,5921.0,No
389.0,5.0,2004.0,7.0,6.0,$36.33,Online Transaction,Auto Toll Provider 7,San Jose ,USA,51694.67689524219,4784.0,No
85.0,0.0,2011.0,1.0,4.0,$33.81,Swipe Transaction,Burns Restaurant,Brea,USA,92821.0,5812.0,No
143.0,1.0,2008.0,12.0,26.0,$2.47,Swipe Transaction,Arianas Wilson Rx,Wilson,USA,27893.0,5912.0,No
182.0,1.0,2012.0,5.0,23.0,$26.99,Online Transaction,Auto Toll Provider 6,San Jose ,USA,51694.67689524219,4784.0,No
694.0,1.0,2018.0,10.0,3.0,$111.12,Chip Transaction,Convenience Store Chain 1,Las Vegas,USA,89117.0,5499.0,No
1028.0,1.0,2019.0,4.0,6.0,$70.02,Chip Transaction,Supermarket Chain 5,Jackson,USA,41339.0,5411.0,No
477.0,1.0,2007.0,2.0,25.0,$78.52,Swipe Transaction,Commuter Rail System 11,Clearfield,USA,84015.0,4111.0,No
